#SampleID	Cow_ID	Class	TRT	Class_TRT	Site	Cycling	P4	OBS
JM263	Cow_3523	METRITIS	NO_TRT	METRITIS_NO_TRT	Non-Gravid_horn	0	0.001	METRITIS
JM160	Cow_9852	METRITIS	EXCENEL	METRITIS_EXCENEL	D7	0	0.001	GOOD
JM161	Cow_9852	METRITIS	EXCENEL	METRITIS_EXCENEL	External	0	0.001	GOOD
JM162	Cow_9852	METRITIS	EXCENEL	METRITIS_EXCENEL	Gravid_horn	0	0.001	GOOD
JM163	Cow_9852	METRITIS	EXCENEL	METRITIS_EXCENEL	Non-Gravid_horn	0	0.001	GOOD
JM184	Cow_9857	METRITIS	NO_TRT	METRITIS_NO_TRT	D7	1	1.233573384	PUS
JM185	Cow_9857	METRITIS	NO_TRT	METRITIS_NO_TRT	External	1	1.233573384	PUS
JM186	Cow_9857	METRITIS	NO_TRT	METRITIS_NO_TRT	Gravid_horn	1	1.233573384	PUS
JM187	Cow_9857	METRITIS	NO_TRT	METRITIS_NO_TRT	Non-Gravid_horn	1	1.233573384	PUS
JM152	Cow_9881	HEALTHY	NO_TRT	HEALTHY_NO_TRT	D7	0	0.001	PUS
JM153	Cow_9881	HEALTHY	NO_TRT	HEALTHY_NO_TRT	External	0	0.001	PUS
JM154	Cow_9881	HEALTHY	NO_TRT	HEALTHY_NO_TRT	Gravid_horn	0	0.001	PUS
JM155	Cow_9881	HEALTHY	NO_TRT	HEALTHY_NO_TRT	Non-Gravid_horn	0	0.001	PUS
JM164	Cow_9890	HEALTHY	EXCENEL	HEALTHY_EXCENEL	D7	1	2.253770985	GOOD
JM165	Cow_9890	HEALTHY	EXCENEL	HEALTHY_EXCENEL	External	1	2.253770985	GOOD
JM166	Cow_9890	HEALTHY	EXCENEL	HEALTHY_EXCENEL	Gravid_horn	1	2.253770985	GOOD
JM167	Cow_9890	HEALTHY	EXCENEL	HEALTHY_EXCENEL	Non-Gravid_horn	1	2.253770985	GOOD
JM236	Cow_10002	METRITIS	EXCENEL	METRITIS_EXCENEL	D7	0	0.001	GOOD
JM237	Cow_10002	METRITIS	EXCENEL	METRITIS_EXCENEL	External	0	0.001	GOOD
JM238	Cow_10002	METRITIS	EXCENEL	METRITIS_EXCENEL	Gravid_horn	0	0.001	GOOD
JM239	Cow_10002	METRITIS	EXCENEL	METRITIS_EXCENEL	Non-Gravid_horn	0	0.001	GOOD
JM188	Cow_10030	METRITIS	NO_TRT	METRITIS_NO_TRT	D7	0	0.001	PUS
JM189	Cow_10030	METRITIS	NO_TRT	METRITIS_NO_TRT	External	0	0.001	PUS
JM190	Cow_10030	METRITIS	NO_TRT	METRITIS_NO_TRT	Gravid_horn	0	0.001	PUS
JM191	Cow_10030	METRITIS	NO_TRT	METRITIS_NO_TRT	Non-Gravid_horn	0	0.001	PUS
JM240	Cow_10054	METRITIS	NO_TRT	METRITIS_NO_TRT	D7	0	0.001	GOOD
